,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_205800.wav,65.81853272364661,2014,2a,70.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-2-14/20140604_210900.wav,65.74464294644838,2014,1a,235.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-14-14/20140417_233800.wav,65.71850524739526,2014,2a,73.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/5-15-14/20140516_225700.wav,65.6627439481658,2014,3a,176.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-7-14/20140409_223200.wav,65.6079756450068,2014,3a,88.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140615_231300.wav,65.58208221447107,2014,1a,26.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140424_194200.wav,65.09557900574981,2014,3a,7.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-10-14/20140312_231400.wav,64.82130344810378,2014,2a,269.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-21-14/20140424_214200.wav,64.78108799405,2014,1a,253.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/3-24-14/20140325_212300.wav,64.70571962155468,2014,3a,176.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-7-14/20140408_213200.wav,64.651640919149,2014,1a,228.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-17-14/20140319_201900.wav,64.63960904604644,2014,2a,274.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/6-12-14/20140614_221300.wav,64.09311162390864,2014,2a,158.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/4-7-14/20140409_223200.wav,63.88078704995509,2014,2a,101.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_004800.wav,63.87342796886194,2014,2a,147.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140614_211300.wav,63.576163701594744,2014,1a,243.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/3-24-14/20140324_192200.wav,63.50039613703725,2014,1a,10.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-21-14/20140423_004100.wav,63.38430537132951,2014,1a,83.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_004000.wav,63.29587064398476,2014,3a,225.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/4-14-14/20140417_203800.wav,63.28979296398604,2014,1a,129.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/5-15-14/20140515_195700.wav,62.79555657256287,2014,1a,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/1a/6-12-14/20140614_231300.wav,62.66689329140433,2014,1a,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-19-14/20140621_201500.wav,62.50805368352171,2014,3a,254.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/3-24-14/20140327_192400.wav,62.454002079647935,2014,2a,280.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/6-12-14/20140614_221300.wav,62.43428021858598,2014,3a,268.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-21-14/20140422_234100.wav,62.39196705623602,2014,3a,166.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/3a/4-14-14/20140416_223700.wav,61.92628719027155,2014,3a,278.5
