,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150223_200100.wav,58.49725167847112,2015,1a,22.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-16-15/20150218_215700.wav,58.39000138802148,2015,5a,16.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-5-15/20150304_230800.wav,58.37963344425907,2015,1a,297.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/4-2-15/20150403_222800.wav,58.36107000560008,2015,5a,284.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/6-4-15/20150606_221000.wav,58.297767158473626,2015,5a,126.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/3-5-15/20150305_210900.wav,58.183560188062835,2015,3a,32.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150307_001000.wav,58.17826966748163,2015,5a,71.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-23-15/20150224_190200.wav,58.004471595492895,2015,1a,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-2-15/20150202_214400.wav,57.962488521468494,2015,4a,15.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_205600.wav,57.94734150709299,2015,1a,282.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150205_224700.wav,57.93768555318797,2015,1a,279.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/6-25-15/20150626_211600.wav,57.88158725613171,2015,5a,35.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/6-25-15/20150629_211600.wav,57.87357126528614,2015,2a,238.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/3-5-15/20150305_000800.wav,57.81890908119652,2015,1a,265.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/4-2-15/20150405_233000.wav,57.818748398652446,2015,1a,74.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/5-8-15/20150511_205400.wav,57.789570226783475,2015,1a,267.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-16-15/20150218_225700.wav,57.671335609074816,2015,2a,200.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150224_210200.wav,57.54549089225349,2015,4a,0.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_215600.wav,57.539106753646,2015,1a,21.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/3-12-15/20150313_221400.wav,57.435998288927,2015,2a,275.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-16-15/20150218_235700.wav,57.42125772463753,2015,4a,177.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150309_001100.wav,57.186686961442156,2015,5a,266.5
